party,group,mean,min,max,party_n
Democrats,People of color,11.67391,11.04206,12.30577,0
Republicans,People of color,10.89855,10.27788,11.51922,1
Democrats,Women,12.34783,11.97521,12.72044,0
Republicans,Women,11.15217,10.77446,11.52989,1
